u1,u8,0.00298
u1,u10,0.00187
u2,u10,0.00207
u2,u17,0.00163
u3,u20,0.01073
u3,u19,0.01002
u3,u13,0.00811
u3,u17,0.00432
u3,u10,0.00327
u3,u12,0.00313
u3,u11,0.00213
u3,u16,0.00127
u3,u21,0.00083
u4,u11,0.002716
u4,u19,0.001733
u5,u12,0.008131
u5,u6,0.005818
u5,u21,0.005132
u5,u11,0.004728
u6,u12,0.0060311
u6,u21,0.002203
u6,u11,0.0022176
u7,u10,0.00417
u7,u17,0.00321
u8,u14,0.00368
u8,u10,0.004253
u10,u17,0.005069
u10,u19,0.003036
u10,u14,0.00303
u10,u13,0.004083
u10,u11,0.001376
u10,u16,0.001073
u10,u21,0.00273
u11,u12,0.0038276
u11,u21,0.0036373
u11,u19,0.002738
u12,u16,0.0070387
u12,u21,0.006127
u12,u19,0.00321
u13,u19,0.008127
u13,u20,0.00707
u13,u22,0.00513
u13,u24,0.002763
u13,u11,0.00263
u13,u23,0.0023711
u13,u12,0.002063
u13,u21,0.002008
u14,u17,0.002631
u15,u10,0.001062
u15,u17,0.000927
u16,u5,0.005818
u16,u21,0.004732
u16,u17,0.002004
u19,u20,0.00821
u22,u23,0.00651
u22,u8,0.00537
u23,u24,0.002238
u24,u18,0.002433
u24,u22,0.002623
u25,u26,0.00637
u25,u28,0.00583
u26,u28,0.005937